Jun/25/2018 17:39:53
epoches, top1
Jun/25/2018 17:40:21
epoches, top1
Jun/25/2018 17:41:06
epoches, top1
785,tensor(54.5139, device='cuda:0')
790,tensor(54.5139, device='cuda:0')
795,tensor(56.7708, device='cuda:0')
800,tensor(55.2083, device='cuda:0')
805,tensor(56.0764, device='cuda:0')
810,tensor(55.5556, device='cuda:0')
815,tensor(54.6875, device='cuda:0')
820,tensor(55.3819, device='cuda:0')
825,tensor(54.5139, device='cuda:0')
830,tensor(54.8611, device='cuda:0')
835,tensor(54.8611, device='cuda:0')
840,tensor(55.0347, device='cuda:0')
845,tensor(55.7292, device='cuda:0')
850,tensor(55.5556, device='cuda:0')
855,tensor(55.0347, device='cuda:0')
860,tensor(55.3819, device='cuda:0')
865,tensor(55.3819, device='cuda:0')
870,tensor(55.2083, device='cuda:0')
875,tensor(54.5139, device='cuda:0')
880,tensor(57.1181, device='cuda:0')
885,tensor(55.9028, device='cuda:0')
890,tensor(58.3333, device='cuda:0')
895,tensor(56.5972, device='cuda:0')
900,tensor(55.2083, device='cuda:0')
905,tensor(56.4236, device='cuda:0')
910,tensor(54.5139, device='cuda:0')
915,tensor(55.3819, device='cuda:0')
920,tensor(56.5972, device='cuda:0')
925,tensor(55.3819, device='cuda:0')
930,tensor(56.5972, device='cuda:0')
935,tensor(54.8611, device='cuda:0')
940,tensor(55.0347, device='cuda:0')
945,tensor(54.5139, device='cuda:0')
950,tensor(56.2500, device='cuda:0')
955,tensor(54.8611, device='cuda:0')
960,tensor(55.9028, device='cuda:0')
965,tensor(56.2500, device='cuda:0')
970,tensor(55.5556, device='cuda:0')
975,tensor(56.7708, device='cuda:0')
980,tensor(54.8611, device='cuda:0')
985,tensor(54.6875, device='cuda:0')
990,tensor(54.5139, device='cuda:0')
995,tensor(54.8611, device='cuda:0')
1000,tensor(57.2917, device='cuda:0')
1005,tensor(54.5139, device='cuda:0')
1010,tensor(56.5972, device='cuda:0')
1015,tensor(55.7292, device='cuda:0')
1020,tensor(56.0764, device='cuda:0')
1025,tensor(54.8611, device='cuda:0')
1030,tensor(57.2917, device='cuda:0')
1035,tensor(56.2500, device='cuda:0')
1040,tensor(57.9861, device='cuda:0')
1045,tensor(55.9028, device='cuda:0')
1050,tensor(55.5556, device='cuda:0')
1055,tensor(56.5972, device='cuda:0')
1060,tensor(57.8125, device='cuda:0')
1065,tensor(57.8125, device='cuda:0')
1070,tensor(56.0764, device='cuda:0')
1075,tensor(54.5139, device='cuda:0')
1080,tensor(56.2500, device='cuda:0')
1085,tensor(55.7292, device='cuda:0')
1090,tensor(55.3819, device='cuda:0')
1095,tensor(56.4236, device='cuda:0')
1100,tensor(55.3819, device='cuda:0')
1105,tensor(57.2917, device='cuda:0')
1110,tensor(56.5972, device='cuda:0')
1115,tensor(55.3819, device='cuda:0')
1120,tensor(57.2917, device='cuda:0')
1125,tensor(56.9444, device='cuda:0')
1130,tensor(54.5139, device='cuda:0')
1135,tensor(57.1181, device='cuda:0')
1140,tensor(56.5972, device='cuda:0')
1145,tensor(55.9028, device='cuda:0')
1150,tensor(57.4653, device='cuda:0')
1155,tensor(54.8611, device='cuda:0')
1160,tensor(55.5556, device='cuda:0')
1165,tensor(56.9444, device='cuda:0')
1170,tensor(54.5139, device='cuda:0')
1175,tensor(55.2083, device='cuda:0')
